Java HotSpot(TM) Client VM (25.131-b11) for windows-x86 JRE (1.8.0_131-b11), built on Mar 15 2017 01:26:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8279028k(4669160k free), swap 16556180k(12224360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.168: [GC (Allocation Failure) 0.168: [DefNew: 896K->64K(960K), 0.0012620 secs] 1020K->676K(524224K), 0.0014309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.176: [GC (Allocation Failure) 0.176: [DefNew: 960K->63K(960K), 0.0009774 secs] 1738K->1655K(524224K), 0.0010851 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.179: [GC (Allocation Failure) 0.179: [DefNew: 959K->64K(960K), 0.0007729 secs] 2678K->2424K(524224K), 0.0008392 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.181: [GC (Allocation Failure) 0.181: [DefNew: 960K->64K(960K), 0.0009482 secs] 3405K->3235K(524224K), 0.0010457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.184: [GC (Allocation Failure) 0.184: [DefNew: 960K->63K(960K), 0.0008187 secs] 4239K->4002K(524224K), 0.0008878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.186: [GC (Allocation Failure) 0.186: [DefNew: 959K->64K(960K), 0.0009272 secs] 4902K->4642K(524224K), 0.0010026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.189: [GC (Allocation Failure) 0.189: [DefNew: 960K->64K(960K), 0.0007891 secs] 5559K->5262K(524224K), 0.0008609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.191: [GC (Allocation Failure) 0.191: [DefNew: 960K->64K(960K), 0.0009363 secs] 6195K->5920K(524224K), 0.0010129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.195: [GC (Allocation Failure) 0.195: [DefNew: 960K->64K(960K), 0.0010464 secs] 6887K->6743K(524224K), 0.0011408 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.197: [GC (Allocation Failure) 0.197: [DefNew: 960K->64K(960K), 0.0010370 secs] 7669K->7481K(524224K), 0.0011147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.199: [GC (Allocation Failure) 0.199: [DefNew: 960K->63K(960K), 0.0010334 secs] 8382K->8120K(524224K), 0.0011029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
